0,1,2,3,4,District
1,Motijheel,Dhaka GPO, ,1000,ঢাকা পোস্ট কোড
2,Dhaka Sadar,Dhaka Sadar HO, ,1100,ঢাকা পোস্ট কোড
3,Dhaka Sadr,Wari TSO, ,1203,ঢাকা পোস্ট কোড
4,Dhaka Sadar,Gandaria TSO, ,1204,ঢাকা পোস্ট কোড
5,Nilkhet,New Market TSO, ,1205,ঢাকা পোস্ট কোড
6,Kochukhet,"Dhaka Cen,ft. TSO", ,1206,ঢাকা পোস্ট কোড
7,Mohammadpur,Mohammadpur Housing Estate TSO, ,1207,ঢাকা পোস্ট কোড
8,Kamrangirchar,Posta TSO, ,1211,ঢাকা পোস্ট কোড
 ,Kamrangirchar,Ashrafabad, , ,ঢাকা পোস্ট কোড
9,Tejgaon,Dhaka Politechnique Institut TSO, ,1208,ঢাকা পোস্ট কোড
10,Dhanmondi,Jigatola TSO, ,1209,ঢাকা পোস্ট কোড
11,Gulshan,Gulshan TSO, ,1212,ঢাকা পোস্ট কোড
12,Banani,Banani TSO, ,1213,ঢাকা পোস্ট কোড
13,Khilgaon,Bashabo TSO, ,1214,ঢাকা পোস্ট কোড
14,Banani,Banani TSO, ,1219,ঢাকা পোস্ট কোড
15,Tejgaon,Tejgaon TSO, ,1215,ঢাকা পোস্ট কোড
16,Mirpur,Mirpur TSO, ,1216,ঢাকা পোস্ট কোড
17,Shantinagar,Shantinagar TSO, ,1217,ঢাকা পোস্ট কোড
18,Mohammadpur,Bangabhaban TSO, ,1222,ঢাকা পোস্ট কোড
19,Motijheel,Dilkusha TSO, ,1223,ঢাকা পোস্ট কোড
20,Lalmati,Sangshad Bhaban, ,1225,ঢাকা পোস্ট কোড
21,Khilkhet,Khilkhet TSO, ,1229,ঢাকা পোস্ট কোড
22,Uttara,Uttara Model Town TSO, ,1230,ঢাকা পোস্ট কোড
23,Dania,Dania TSO, ,1236,ঢাকা পোস্ট কোড
24,Keranigonj,Keranigonj UPO, ,1310,ঢাকা পোস্ট কোড
 ,Keranigonj,Uttar Pangaon, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Konda, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Baktarchar, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Ati, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Talepur, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Beuta, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Baghoir, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Paschimdi, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Rahitpur, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Brahammankirti, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Rajabari, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Shakta, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Shyamlapur, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Shuvadda, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Sonakanda, , ,ঢাকা পোস্ট কোড
25,Keranigonj,Dhaka Jute Mils SO, ,1311,ঢাকা পোস্ট কোড
 ,Keranigonj,Doleshor, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Teghoria, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Par Gandaria, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Abdullapur, , ,ঢাকা পোস্ট কোড
26,Keranigonj,Ati EDSO, ,1312,ঢাকা পোস্ট কোড
27,Keranigonj,Kalatia SO, ,1313,ঢাকা পোস্ট কোড
 ,Keranigonj,Itavara, ,`,ঢাকা পোস্ট কোড
 ,Keranigonj,Taranagar, , ,ঢাকা পোস্ট কোড
 ,Keranigonj,Kharakandi, , ,ঢাকা পোস্ট কোড
28,Nawabgonj,Nawabgonj UPO, ,1320,ঢাকা পোস্ট কোড
 ,Nawabgonj,Khalpar, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Agla, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Kolakopa, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Gobindopur, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Galimpur, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Choto Box Nagar, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Jalalchar, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Paragram, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Braha, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Bardhanpara, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Mohabbatpur, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Mashail, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Sholla, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Kailail, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Aona, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Patiljhap, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Meleng, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Dakkhin Balukhondo, , ,ঢাকা পোস্ট কোড
29,Nawabgonj,Hasnabad SO, ,1321,ঢাকা পোস্ট কোড
 ,Nawabgonj,Khanepur, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Dewtola, , ,ঢাকা পোস্ট কোড
30,Nawabgonj,Daudpur So, ,1322,ঢাকা পোস্ট কোড
 ,Nawabgonj,Kuthuri, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Joykrishnapur, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Karpara, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Shikaripara, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Hat Baruakhali, , ,ঢাকা পোস্ট কোড
 ,Nawabgonj,Tasulla Banglabazar, , ,ঢাকা পোস্ট কোড
31,Nawabgonj,Agla EDSO, ,1323,ঢাকা পোস্ট কোড
32,Nawabgonj,Khalpur EDSO, ,1324,ঢাকা পোস্ট কোড
33,Nawabgonj,Churan So, ,1325,ঢাকা পোস্ট কোড
34,Joypara (Dohar),Joypara (Dohar) UPO, ,1330,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Al-Amin Bazar, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Harichandi, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Narisha, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Dohar, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Meghula, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Aorangabad, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Kusumhati, , ,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Dokkhin Braha, , ,ঢাকা পোস্ট কোড
35,Joypara (Dohar),Palamgonj SO, ,1331,ঢাকা পোস্ট কোড
 ,Joypara (Dohar),Jamalchar, , ,ঢাকা পোস্ট কোড
36,Joypara (Dohar),Narisha SO, ,1332,ঢাকা পোস্ট কোড
37,Joypara (Dohar),Mokshedpur So, ,1333,ঢাকা পোস্ট কোড
38,Savar,Savar UPO, ,1340,ঢাকা পোস্ট কোড
 ,Savar,Vakurta, , ,ঢাকা পোস্ট কোড
 ,Savar,Amin Bazar, , ,ঢাকা পোস্ট কোড
 ,Savar,Rajfulbariya, , ,ঢাকা পোস্ট কোড
 ,Savar,Rajashon, , ,ঢাকা পোস্ট কোড
 ,Savar,Hemayetpur, , ,ঢাকা পোস্ট কোড
 ,Savar,Moshurikhola, , ,ঢাকা পোস্ট কোড
 ,Savar,Shobahanbagh, , ,ঢাকা পোস্ট কোড
 ,Savar,Nayarhat, , ,ঢাকা পোস্ট কোড
 ,Savar,Biruliya, , ,ঢাকা পোস্ট কোড
 ,Savar,Nagarkonda, , ,ঢাকা পোস্ট কোড
39,Savar,Dairy Firm SO, ,1341,ঢাকা পোস্ট কোড
